x,y,attempt,log_attempt,made,missed
80,7,1,0.0,1,0
81,7,8,0.9030899869919435,2,6
82,7,1,0.0,1,0
83,7,3,0.47712125471966244,1,2
84,7,4,0.6020599913279624,2,2
85,7,7,0.8450980400142568,3,4
86,7,5,0.6989700043360189,2,3
87,7,3,0.47712125471966244,1,2
88,7,2,0.3010299956639812,0,2
89,7,5,0.6989700043360189,2,3
90,7,1,0.0,0,1
91,7,4,0.6020599913279624,2,2
92,7,41,1.6127838567197355,13,28
93,7,44,1.6434526764861874,15,29
94,7,83,1.919078092376074,32,51
95,7,86,1.9344984512435677,33,53
96,7,46,1.662757831681574,15,31
97,7,52,1.7160033436347992,18,34
98,7,23,1.3617278360175928,7,16
99,7,19,1.2787536009528289,7,12
0,8,36,1.5563025007672873,14,22
1,8,29,1.462397997898956,12,17
2,8,104,2.0170333392987803,38,66
3,8,95,1.9777236052888478,35,60
4,8,80,1.9030899869919435,32,48
5,8,65,1.8129133566428555,19,46
6,8,6,0.7781512503836436,2,4
7,8,4,0.6020599913279624,2,2
8,8,4,0.6020599913279624,1,3
9,8,7,0.8450980400142568,3,4
10,8,1,0.0,0,1
11,8,8,0.9030899869919435,3,5
12,8,9,0.9542425094393249,4,5
13,8,6,0.7781512503836436,1,5
14,8,9,0.9542425094393249,2,7
15,8,4,0.6020599913279624,2,2
16,8,5,0.6989700043360189,2,3
17,8,9,0.9542425094393249,3,6
18,8,4,0.6020599913279624,0,4
19,8,10,1.0,4,6
20,8,9,0.9542425094393249,3,6
21,8,7,0.8450980400142568,1,6
22,8,3,0.47712125471966244,0,3
23,8,12,1.0791812460476249,3,9
24,8,14,1.146128035678238,3,11
25,8,8,0.9030899869919435,3,5
26,8,9,0.9542425094393249,5,4
27,8,15,1.1760912590556813,3,12
28,8,9,0.9542425094393249,4,5
29,8,9,0.9542425094393249,3,6
30,8,17,1.2304489213782739,6,11
31,8,13,1.1139433523068367,4,9
32,8,24,1.380211241711606,7,17
33,8,17,1.2304489213782739,4,13
34,8,21,1.3222192947339193,9,12
35,8,26,1.414973347970818,8,18
36,8,11,1.0413926851582251,5,6
37,8,18,1.255272505103306,5,13
38,8,30,1.4771212547196624,13,17
39,8,20,1.3010299956639813,9,11
40,8,61,1.7853298350107671,23,38
41,8,81,1.9084850188786497,32,49
42,8,226,2.3541084391474008,121,105
43,8,246,2.3909351071033793,134,112
44,8,358,2.5538830266438746,221,137
45,8,362,2.558708570533166,230,132
46,8,263,2.419955748489758,188,75
47,8,250,2.3979400086720375,183,67
48,8,1399,3.1458177144918276,995,404
49,8,1348,3.129689892199301,1005,343
50,8,1409,3.1489109931093564,1032,377
51,8,1412,3.149834696715785,1048,364
52,8,255,2.406540180433955,186,69
53,8,242,2.383815365980431,166,76
54,8,325,2.5118833609788744,199,126
55,8,348,2.5415792439465807,223,125
56,8,252,2.401400540781544,137,115
57,8,235,2.3710678622717363,131,104
58,8,61,1.7853298350107671,29,32
59,8,66,1.8195439355418688,24,42
60,8,14,1.146128035678238,8,6
61,8,27,1.4313637641589874,12,15
62,8,16,1.2041199826559248,2,14
63,8,13,1.1139433523068367,4,9
64,8,15,1.1760912590556813,7,8
65,8,9,0.9542425094393249,3,6
66,8,14,1.146128035678238,8,6
67,8,10,1.0,2,8
68,8,8,0.9030899869919435,2,6
69,8,10,1.0,4,6
70,8,11,1.0413926851582251,5,6
71,8,9,0.9542425094393249,3,6
72,8,5,0.6989700043360189,1,4
73,8,6,0.7781512503836436,4,2
74,8,9,0.9542425094393249,3,6
75,8,7,0.8450980400142568,1,6
76,8,10,1.0,5,5
77,8,11,1.0413926851582251,3,8
78,8,10,1.0,6,4
79,8,14,1.146128035678238,6,8
80,8,3,0.47712125471966244,1,2
81,8,7,0.8450980400142568,4,3
82,8,10,1.0,5,5
83,8,4,0.6020599913279624,1,3
84,8,6,0.7781512503836436,1,5
85,8,6,0.7781512503836436,2,4
86,8,6,0.7781512503836436,3,3
87,8,5,0.6989700043360189,3,2
88,8,2,0.3010299956639812,1,1
89,8,5,0.6989700043360189,0,5
90,8,4,0.6020599913279624,3,1
91,8,6,0.7781512503836436,1,5
92,8,62,1.792391689498254,19,43
93,8,62,1.792391689498254,20,42
94,8,71,1.8512583487190752,28,43
95,8,61,1.7853298350107671,25,36
96,8,57,1.7558748556724915,24,33
97,8,40,1.6020599913279623,12,28
98,8,26,1.414973347970818,7,19
99,8,18,1.255272505103306,6,12
0,9,44,1.6434526764861874,12,32
1,9,41,1.6127838567197355,15,26
2,9,116,2.0644579892269186,47,69
3,9,87,1.9395192526186185,32,55
4,9,72,1.8573324964312685,17,55
5,9,69,1.8388490907372552,20,49
6,9,3,0.47712125471966244,2,1
7,9,7,0.8450980400142568,2,5
8,9,5,0.6989700043360189,1,4
9,9,6,0.7781512503836436,5,1
10,9,5,0.6989700043360189,0,5
11,9,3,0.47712125471966244,2,1
12,9,4,0.6020599913279624,1,3
13,9,8,0.9030899869919435,4,4
14,9,5,0.6989700043360189,3,2
15,9,4,0.6020599913279624,0,4
16,9,14,1.146128035678238,6,8
17,9,8,0.9030899869919435,3,5
18,9,9,0.9542425094393249,2,7
19,9,7,0.8450980400142568,1,6
20,9,8,0.9030899869919435,3,5
21,9,9,0.9542425094393249,2,7
22,9,5,0.6989700043360189,1,4
23,9,8,0.9030899869919435,2,6
24,9,14,1.146128035678238,4,10
25,9,11,1.0413926851582251,2,9
26,9,16,1.2041199826559248,4,12
27,9,14,1.146128035678238,3,11
28,9,11,1.0413926851582251,2,9
29,9,14,1.146128035678238,4,10
30,9,14,1.146128035678238,7,7
31,9,20,1.3010299956639813,8,12
32,9,19,1.2787536009528289,3,16
33,9,20,1.3010299956639813,6,14
34,9,21,1.3222192947339193,6,15
35,9,16,1.2041199826559248,7,9
36,9,16,1.2041199826559248,6,10
37,9,14,1.146128035678238,1,13
38,9,18,1.255272505103306,7,11
39,9,30,1.4771212547196624,12,18
40,9,75,1.8750612633917,31,44
41,9,104,2.0170333392987803,50,54
42,9,317,2.5010592622177517,171,146
43,9,292,2.4653828514484184,151,141
44,9,437,2.640481436970422,282,155
45,9,421,2.6242820958356683,276,145
46,9,310,2.4913616938342726,215,95
47,9,313,2.4955443375464483,213,100
48,9,1365,3.1351326513767748,994,371
49,9,1408,3.1486026548060932,1019,389
50,9,1418,3.151676230847048,1011,407
51,9,1408,3.1486026548060932,1053,355
52,9,267,2.4265112613645754,174,93
53,9,266,2.424881636631067,191,75
54,9,412,2.6148972160331345,267,145
55,9,369,2.56702636615906,232,137
56,9,242,2.383815365980431,123,119
57,9,254,2.404833716619938,148,106
58,9,78,1.8920946026904804,38,40
59,9,64,1.806179973983887,31,33
60,9,15,1.1760912590556813,5,10
61,9,16,1.2041199826559248,4,12
62,9,12,1.0791812460476249,3,9
63,9,14,1.146128035678238,3,11
64,9,19,1.2787536009528289,8,11
65,9,21,1.3222192947339193,8,13
